Incident Number,Exposure Number,Address,IncidentDate,Call Number,AlarmDtTm,Arrival DtTm,Close DtTm,City,Zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,EstimatedPropertyLoss,Estimated Contents Loss,FireFatalities,Fire Injuries,CivilianFatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,PropertyUse,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spead,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,NeighborhoodDistrict,Location
18115539,0,302 Silver Avenue,10/2/18,182753831,20:53,10/2/18 20:57,10/2/18 21:26,San Francisco,94112,B09,32,6114,3,11,0,0,0,0,,,,0,0,0,0,,"745 alarm system activation, no fire - unintentional",n none,86 investigate,,,,"311 - 24-hr care nurse homes, 4 or more person",,,,,,,,,,,,na,,,,,,,,,,,,,,,11,Excelsior,"(37.72778000002961, -122.430569)"
18115563,0,240 Jones Street,10/2/18,182754118,22:29,10/2/18 22:34,10/2/18 22:47,San Francisco,94102,B03,3,1456,3,11,0,0,0,0,,,,0,0,0,0,,"745 alarm system activation, no fire - unintentional",n none,86 investigate,,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Tenderloin,"(37.78340600002964, -122.41240600000002)"
18114771,0,Owens Street,10/1/18,182740731,7:40,10/1/18 7:49,10/1/18 9:36,San Francisco,94158,B03,29,2414,1,4,1,2,0,0,,,,0,0,0,0,,322 motor vehicle accident with injuries,n none,32 provide basic life support (bls),,,,"960 - street, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Mission Bay,"(37.76669200002964, -122.39266899999998)"
18114906,0,385 4th Avenue,10/1/18,182742140,13:27,10/1/18 13:30,10/1/18 14:04,San Francisco,94118,B07,31,7116,2,9,0,0,0,0,,,,0,0,0,0,,522 water or steam leak,n none,75 provide equipment,,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,1,Inner Richmond,"(37.781430000029665, -122.46225099999998)"
18115207,0,1011 Howard St 329,10/2/18,182750624,7:22,10/2/18 7:26,10/2/18 7:33,San Francisco,94103,B03,1,2252,1,4,0,0,0,0,,,,0,0,0,0,,554 assist invalid,n none,71 assist physically disabled,,,,"439 - boarding/rooming house, residential hotels",,,,,,,,,,,,na,,,,,,,,,,,,,,,6,South of Market,"(37.779275000029656, -122.407345)"
18115272,0,145 Taylor Street,10/2/18,182751298,10:23,10/2/18 10:24,10/2/18 10:27,San Francisco,94102,B03,3,1453,3,11,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,63 restore fire alarm system,,,,"500 - mercantile, business, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Tenderloin,"(37.78362600002965, -122.41093899999998)"
18115288,0,1950 Innes Avenue,10/2/18,182751445,10:59,10/2/18 10:59,10/2/18 11:11,San Francisco,94124,B10,9,6416,1,4,0,0,0,0,,,,0,0,0,0,,"445 arcing, shorted electrical equipment",n none,86 investigate,,,,963 - street or road in commercial area,,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Bayview Hunters Point,"(37.74321200002964, -122.395417)"
18115358,0,25th Street,10/2/18,182752169,13:50,10/2/18 13:53,10/2/18 15:11,San Francisco,94110,B10,9,2624,1,4,2,3,0,0,,,,0,0,0,0,,323 motor vehicle/pedestrian accident (mv ped),n none,31 provide first aid & check for injuries,,,,963 - street or road in commercial area,,,,,,,,,,,,na,,,,,,,,,,,,,,,9,Mission,"(37.751726000029635, -122.406223)"
18115377,0,Bayshore Bl,10/2/18,182752342,14:33,10/2/18 14:37,10/2/18 14:50,San Francisco,94134,B10,42,6451,3,10,0,0,0,0,,,,0,0,0,0,,143 grass fire,n none,11 extinguishment by fire service personnel,,,,961 - highway or divided highway (street),,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Portola,"(37.726967000029624, -122.40187700000001)"
18115396,0,Folsom Street,10/2/18,182752434,14:50,10/2/18 14:53,10/2/18 15:12,San Francisco,94107,B03,1,2176,3,13,2,4,0,0,,,,0,0,0,0,,"311 medical assist, assist ems crew",n none,31 provide first aid & check for injuries,,,,"960 - street, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,6,South of Market,"(37.78264600002966, -122.40037800000002)"
18115398,0,877 Rhode Island Street,10/2/18,182752465,14:57,10/2/18 15:00,10/2/18 15:09,San Francisco,94107,B10,37,2522,3,10,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Potrero Hill,"(37.75873300002964, -122.40190300000002)"
18115465,0,1430 Alabama Street,10/2/18,182753059,17:15,10/2/18 17:19,10/2/18 18:16,San Francisco,94110,B06,9,5615,1,4,2,4,0,0,,,,0,0,0,0,,"321 ems call, excluding vehicle accident with injury",n none,31 provide first aid & check for injuries,,,,963 - street or road in commercial area,,,,,,,,,,,,na,,,,,,,,,,,,,,,9,Mission,"(37.74909900002963, -122.410709)"
18115480,0,Mendell Street,10/2/18,182753213,17:48,10/2/18 17:53,10/2/18 18:56,San Francisco,94124,B10,25,6521,4,14,2,3,0,0,,,,0,0,0,0,,"300 rescue, ems incident, other",n none,"30 emergency medical services, other",,,,"960 - street, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Bayview Hunters Point,"(37.73898300002961, -122.386401)"
18115498,0,1001 Potrero Avenue,10/2/18,182753411,18:36,10/2/18 18:39,10/2/18 18:48,San Francisco,94110,B10,7,255,3,10,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,86 investigate,,,,331 - hospital - medical or psychiatric,,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Potrero Hill,"(37.75553700002964, -122.406319)"
18115499,0,4150 Clement Street,10/2/18,182753419,18:37,10/2/18 18:41,10/2/18 19:02,San Francisco,94121,B07,34,7265,3,10,0,0,0,0,,,,0,0,0,0,,"251 excessive heat, scorch burns with no ignition",n none,64 shut down system,,,,"300 - health care, detention, & correction, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,1,Lincoln Park,"(37.782593000029664, -122.50457500000002)"
18115529,0,1001 Polk St 4thfloor,10/2/18,182753764,20:24,10/2/18 20:27,10/2/18 21:32,San Francisco,94109,B04,3,3121,2,9,1,2,0,0,,,,0,0,0,0,,"311 medical assist, assist ems crew",n none,32 provide basic life support (bls),,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Tenderloin,"(37.78611600002964, -122.420049)"
18115537,0,988 Howard Street,10/2/18,182753800,20:43,10/2/18 20:43,10/2/18 21:13,San Francisco,94103,B03,1,2252,3,10,0,0,0,0,,,,0,0,0,0,,735 alarm system sounded due to malfunction,n none,63 restore fire alarm system,,,,"439 - boarding/rooming house, residential hotels",,,,,,,,,,,,na,,,,,,,,,,,,,,,6,South of Market,"(37.780076000029645, -122.407139)"
18115546,0,988 Howard Street,10/2/18,182753916,21:21,10/2/18 21:25,10/2/18 21:31,San Francisco,94103,B03,1,2252,3,10,0,0,0,0,,,,0,0,0,0,,735 alarm system sounded due to malfunction,n none,63 restore fire alarm system,,,,"439 - boarding/rooming house, residential hotels",,,,,,,,,,,,na,,,,,,,,,,,,,,,6,South of Market,"(37.780076000029645, -122.407139)"
18115551,0,Stanyan Street,10/2/18,182753983,21:44,10/2/18 21:47,10/2/18 21:48,San Francisco,94122,B05,12,4553,2,9,0,0,0,0,,,,0,0,0,0,,"710 malicious, mischievous false call, other",n none,"80 information, investigation & enforcement, other",,,,"000 - property use, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,5,Golden Gate Park,"(37.77009700002962, -122.453728)"
18115575,0,423 Ellis Street,10/2/18,182754257,23:31,10/2/18 23:35,10/2/18 23:43,San Francisco,94102,B03,3,1461,1,4,0,0,0,0,,,,0,0,0,0,,671 hazmat release investigation w/no hazmat,n none,86 investigate,,,,963 - street or road in commercial area,,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Tenderloin,"(37.78474500002966, -122.413188)"
18115578,0,2500 Mariposa Street,10/2/18,182754291,23:48,10/2/18 23:51,10/3/18 0:06,San Francisco,94110,B02,29,5243,3,11,0,0,0,0,,,,0,0,0,0,,"745 alarm system activation, no fire - unintentional",n none,86 investigate,,,,"150 - public or government, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,10,Mission,"(37.76331600002966, -122.40878200000002)"
18115593,0,600 Stanyan Street,10/3/18,182760111,1:06,10/3/18 1:09,10/3/18 1:21,San Francisco,94117,B05,12,4553,3,10,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,63 restore fire alarm system,,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,5,Golden Gate Park,"(37.77137100002966, -122.453883)"
18115610,0,1976 California St 6,10/3/18,182760238,3:12,10/3/18 3:15,10/3/18 3:25,San Francisco,94109,B04,38,3254,3,10,0,0,0,0,,,,0,0,0,0,,"700 false alarm or false call, other",n none,64 shut down system,,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,2,Pacific Heights,"(37.789862000029665, -122.426861)"
18115612,0,1390 Market Street,10/3/18,182760251,3:22,10/3/18 3:29,10/3/18 3:39,San Francisco,94102,B02,36,3111,1,5,0,0,0,0,,,,0,0,0,0,,"500 service call, other",n none,"70 assistance, other",,,,592 - bank,,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Tenderloin,"(37.77707200002966, -122.417343)"
18115618,0,575 Monterey,10/3/18,182760285,3:51,10/3/18 3:57,10/3/18 4:05,San Francisco,94112,B09,15,8235,1,5,0,0,0,0,,,,0,0,0,0,,554 assist invalid,n none,71 assist physically disabled,,,,419 - 1 or 2 family dwelling,,,,,,,,,,,,na,,,,,,,,,,,,,,,7,West of Twin Peaks,"(37.73147500002963, -122.448078)"
18115637,0,238 Eddy St 315,10/3/18,182760428,5:37,10/3/18 5:41,10/3/18 5:48,San Francisco,94102,B03,3,1453,8,30,1,2,1,2,,100,100,0,0,0,0,,"113 cooking fire, confined to container",n none,86 investigate,,,1 detector alerted occupants,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,6,Tenderloin,"(37.78434200002967, -122.41167999999999)"
18115651,0,48th Avenue,10/3/18,182760512,6:34,10/3/18 6:38,10/3/18 6:48,San Francisco,94122,B08,23,7721,1,4,0,0,0,0,,,,0,0,0,0,,"440 electrical  wiring/equipment problem, other",n none,86 investigate,,,,"962 - residential street, road or residential dr",,,,,,,,,,,,na,,,,,,,,,,,,,,,4,Sunset/Parkside,"(37.76032700002965, -122.50806800000001)"
18115658,0,50 Lupine Avenue,10/3/18,182760644,7:27,10/3/18 7:30,10/3/18 7:44,San Francisco,94118,B05,10,4371,3,10,0,0,0,0,,,,0,0,0,0,,733 smoke detector activation due to malfunction,n none,86 investigate,84 refer to proper authority,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,2,Presidio Heights,"(37.784334000029666, -122.448336)"
18115679,0,1162 Gorgas Avenue,10/3/18,182760858,8:29,10/3/18 8:33,10/3/18 8:38,Presidio,94129,B99,51,4633,1,4,0,0,0,0,,,,0,0,0,0,,"651 smoke scare, odor of smoke",n none,86 investigate,,,,"110 - fixed use recreation places, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,2,Presidio,"(37.802019000029674, -122.450504)"
18115680,0,177 Post St 770,10/3/18,182760884,8:36,10/3/18 8:40,10/3/18 9:09,San Francisco,94108,B01,13,1316,3,11,0,0,0,0,,,,0,0,0,0,,"900 special type of incident, other",n none,64 shut down system,,,,"500 - mercantile, business, other",,,,,,,,,,,,na,,,,,,,,,,,,,,,3,Financial District/South Beach,"(37.78866100002966, -122.40493900000001)"
18115686,0,101 Post Street,10/3/18,182760961,8:57,10/3/18 8:59,10/3/18 9:25,San Francisco,94108,B01,13,1316,4,16,0,0,0,0,,,,0,0,0,0,,"745 alarm system activation, no fire - unintentional",n none,63 restore fire alarm system,,,,"519 - food and beverage sales, grocery store",,,,,,,,,,,,na,,,,,,,,,,,,,,,3,Financial District/South Beach,"(37.78881600002966, -122.40373500000001)"
18115698,0,580 Beach Street,10/3/18,182761083,9:23,10/3/18 9:28,10/3/18 9:35,San Francisco,94133,B01,28,1521,3,11,0,0,0,0,,,,0,0,0,0,,"740 unintentional transmission of alarm, other",n none,86 investigate,,,,"449 - hotel/motel, commercial",,,,,,,,,,,,na,,,,,,,,,,,,,,,3,North Beach,"(37.80738900002968, -122.41853700000001)"
18115720,0,2300 Harrison Street,10/3/18,182761342,10:26,10/3/18 10:27,10/3/18 10:31,San Francisco,94110,B06,7,5432,4,16,0,0,0,0,,,,0,0,0,0,,"745 alarm system activation, no fire - unintentional",n none,63 restore fire alarm system,,,,429 - multifamily dwellings,,,,,,,,,,,,na,,,,,,,,,,,,,,,9,Mission,"(37.76055300002965, -122.41276000000002)"
